Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
GLOB,Globe Kita Terang Tbk.,2012-07-10,1111112000.0,Pengembangan,Consumer Cyclicals,112,124444544000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2012-07-10,2022-12-19
GLVA,Galva Technologies Tbk.,2019-12-23,1500000000.0,Pengembangan,Technology,530,795000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-12-23,2022-12-19
GMFI,Garuda Maintenance Facility Ae,2017-10-10,28233511500.0,Utama,Infrastructures,60,1694010690000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2017-10-10,2022-12-19
GMTD,Gowa Makassar Tourism Developm,2000-12-11,101538000.0,Pengembangan,Properties & Real Estate,14500,1472301000000.0,2021-11-15 09:00:00,2022-10-28 15:59:00,2020-04-16 09:00:00,2022-10-28 16:00:00,2001-04-16,2022-12-16
GOLD,Visi Telekomunikasi Infrastruk,2010-07-07,1277276000.0,Pengembangan,Infrastructures,312,398510112000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2010-07-07,2022-12-19
GOLL,Golden Plantation Tbk.,2014-12-23,3665000759.0,Pengembangan,Consumer Non-Cyclicals,50,183250037950.0,,,,,2014-12-23,2022-12-16
GOOD,Garudafood Putra Putri Jaya Tb,2018-10-10,36897901455.0,Utama,Consumer Non-Cyclicals,520,19186908756600.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-10-10,2022-12-19
GOTO,GoTo Gojek Tokopedia Tbk.,2022-04-11,1184363929502.0,Utama,Technology,92,108961481514184.0,2022-04-11 09:00:00,2022-12-19 15:59:00,2022-04-11 09:00:00,2022-12-19 15:00:00,2022-04-11,2022-12-19
GPRA,Perdana Gapuraprima Tbk.,2007-10-10,4276655336.0,Utama,Properties & Real Estate,99,423388878264.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2007-10-10,2022-12-19
GPSO,Geoprima Solusi Tbk.,2021-09-06,666666823.0,Pengembangan,Industrials,173,115333360379.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-09-06 09:00:00,2022-12-19 15:00:00,2021-09-06,2022-12-19
GSMF,Equity Development Investment ,1989-10-23,14230399705.0,Pengembangan,Financials,82,1166892775810.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
GTBO,Garda Tujuh Buana Tbk,2009-07-09,2500000000.0,Pengembangan,Energy,82,205000000000.0,2022-12-19 09:36:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2009-07-09,2022-12-19
GTSI,GTS Internasional Tbk.,2021-09-08,15819142767.0,Utama,Energy,54,854233709418.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-09-08 09:00:00,2022-12-19 15:00:00,2021-09-08,2022-12-19
GULA,Aman Agrindo Tbk.,2022-08-03,1070362500.0,Pengembangan,Consumer Non-Cyclicals,252,269731350000.0,2022-08-03 09:00:00,2022-12-19 15:59:00,2022-08-03 09:00:00,2022-12-19 15:00:00,2022-08-03,2022-12-19
GWSA,Greenwood Sejahtera Tbk.,2011-12-23,7800760000.0,Utama,Properties & Real Estate,154,1201317040000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-12-23,2022-12-19
GZCO,Gozco Plantations Tbk.,2008-05-15,6000000000.0,Utama,Consumer Non-Cyclicals,87,522000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2008-05-15,2022-12-19
HADE,Himalaya Energi Perkasa Tbk.,2004-04-12,2120000000.0,Pengembangan,Infrastructures,50,106000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2004-04-12,2022-12-19
HAIS,Hasnur Internasional Shipping ,2021-09-01,2626250000.0,Utama,Transportation & Logistic,214,562017500000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-09-01 09:00:00,2022-12-19 15:00:00,2021-09-01,2022-12-19
HATM,Habco Trans Maritima Tbk.,2022-07-26,7000000000.0,Pengembangan,Transportation & Logistic,314,2198000000000.0,2022-07-26 09:00:00,2022-12-19 15:59:00,2022-07-26 09:00:00,2022-12-19 15:00:00,2022-07-26,2022-12-19
HDFA,Radana Bhaskara Finance Tbk.,2011-05-10,6542445783.0,Utama,Financials,148,968281975884.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-05-10,2022-12-19
HDIT,Hensel Davest Indonesia Tbk.,2019-07-12,1524680000.0,Utama,Technology,51,77758680000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-07-12,2022-12-19
HDTX,Panasia Indo Resources Tbk.,1990-06-06,3601462800.0,Utama,Consumer Cyclicals,,,,,,,,
HEAL,Medikaloka Hermina Tbk.,2018-05-16,14920000000.0,Utama,Healthcare,1550,23126000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-05-16,2022-12-19
HELI,Jaya Trishindo Tbk.,2018-03-27,832862387.0,Pengembangan,Transportation & Logistic,256,213212771072.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-03-27,2022-12-19
HERO,Hero Supermarket Tbk.,1989-08-21,4183634000.0,Utama,Consumer Non-Cyclicals,1530,6400960020000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
HEXA,Hexindo Adiperkasa Tbk.,1995-02-13,840000000.0,Utama,Industrials,5325,4473000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
HITS,Humpuss Intermoda Transportasi,1997-12-15,7101084801.0,Utama,Energy,494,3507935891694.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
HKMU,HK Metals Utama Tbk.,2018-10-09,3221750000.0,Utama,Basic Materials,50,161087500000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-10-09,2022-12-19
HMSP,H.M. Sampoerna Tbk.,1990-08-15,116318076900.0,Utama,Consumer Non-Cyclicals,935,108757401901500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
HOKI,Buyung Poetra Sembada Tbk.,2017-06-22,9677752680.0,Utama,Consumer Non-Cyclicals,102,987130773360.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2017-06-22,2022-12-19
HOME,Hotel Mandarine Regency Tbk.,2008-07-17,22212194782.0,Pengembangan,Consumer Cyclicals,50,1110609739100.0,,,,,2008-07-17,2022-12-16
HOMI,Grand House Mulia Tbk.,2020-09-10,787500000.0,Pengembangan,Properties & Real Estate,400,315000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-09-10 09:00:00,2022-12-19 15:00:00,2020-09-10,2022-12-19
HOPE,Harapan Duta Pertiwi Tbk.,2021-05-24,2129167100.0,Pengembangan,Industrials,52,110716689200.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-05-24 09:00:00,2022-12-19 15:00:00,2021-05-24,2022-12-19
HOTL,Saraswati Griya Lestari Tbk.,2013-01-10,3550001452.0,Utama,Consumer Cyclicals,50,177500072600.0,2021-11-01 09:00:00,2022-07-29 15:59:00,2020-04-16 09:00:00,2022-07-22 16:00:00,2013-01-10,2022-12-16
HRME,Menteng Heritage Realty Tbk.,2019-04-12,5958750000.0,Pengembangan,Consumer Cyclicals,52,309855000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-04-12,2022-12-19
HRTA,Hartadinata Abadi Tbk.,2017-06-21,4605262400.0,Utama,Consumer Cyclicals,204,939473529600.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2017-06-21,2022-12-19
HRUM,Harum Energy Tbk.,2010-10-06,2703620000.0,Utama,Energy,1725,4663744500000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2010-10-06,2022-12-19
IATA,MNC Energy Investments Tbk.,2006-09-13,11415812114.0,Pengembangan,Transportation & Logistic,133,1518303011162.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2006-09-13,2022-12-19
IBFN,Intan Baru Prana Tbk.,2014-12-22,1517332349.0,Pengembangan,Financials,97,147181237853.0,2021-11-01 09:00:00,2022-02-11 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2014-12-22,2022-12-16
IBOS,Indo Boga Sukses Tbk.,2022-04-25,8036800000.0,Akselerasi,Consumer Non-Cyclicals,90,723312000000.0,2022-04-25 09:00:00,2022-12-19 15:59:00,2022-04-25 09:00:00,2022-12-19 15:00:00,2022-04-25,2022-12-19
IBST,Inti Bangun Sejahtera Tbk.,2012-08-31,1350904927.0,Utama,Infrastructures,5800,7835248576600.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2012-08-31,2022-12-19
ICBP,Indofood CBP Sukses Makmur Tbk,2010-10-07,11661908000.0,Utama,Consumer Non-Cyclicals,10150,118368366200000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2010-10-07,2022-12-19
ICON,Island Concepts Indonesia Tbk.,2005-07-08,1089750000.0,Pengembangan,Industrials,64,69744000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2005-07-08,2022-12-19
IDEA,Idea Indonesia Akademi Tbk.,2021-09-09,1062437500.0,Akselerasi,Consumer Cyclicals,63,66933562500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-09-09 09:00:00,2022-12-19 15:00:00,2021-09-09,2022-12-19
IDPR,Indonesia Pondasi Raya Tbk.,2015-12-10,2003000000.0,Utama,Infrastructures,168,336504000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2015-12-10,2022-12-19
IFII,Indonesia Fibreboard Industry ,2019-12-10,9412000000.0,Utama,Basic Materials,158,1487096000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-12-10,2022-12-19
IFSH,Ifishdeco Tbk.,2019-12-05,2125000000.0,Pengembangan,Basic Materials,1005,2135625000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-12-05,2022-12-19
IGAR,Champion Pacific Indonesia Tbk,1990-11-05,972204500.0,Utama,Basic Materials,470,456936115000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
IIKP,Inti Agri Resources Tbk,2002-10-14,33600000000.0,Pengembangan,Consumer Cyclicals,50,1680000000000.0,,,,,2002-10-14,2022-12-16
IKAI,Intikeramik Alamasri Industri ,1997-06-04,13305799387.0,Utama,Consumer Cyclicals,50,665289969350.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
IKAN,Era Mandiri Cemerlang Tbk.,2020-02-12,833333000.0,Pengembangan,Consumer Non-Cyclicals,60,49999980000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-02-12,2022-12-19
IKBI,Sumi Indo Kabel Tbk.,1991-01-21,1224000000.0,Pengembangan,Industrials,208,254592000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
IMAS,Indomobil Sukses Internasional,1993-11-15,3994291039.0,Utama,Consumer Cyclicals,895,3574890479905.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
IMJS,Indomobil Multi Jasa Tbk.,2013-12-10,8654325000.0,Utama,Financials,314,2717458050000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-12-10,2022-12-19
IMPC,Impack Pratama Industri Tbk.,2014-12-17,4833500000.0,Pengembangan,Industrials,3420,16530570000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2014-12-17,2022-12-19
INAF,Indofarma Tbk.,2001-04-17,3099267500.0,Utama,Healthcare,910,2820333425000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-17,2022-12-19
INAI,Indal Aluminium Industry Tbk.,1994-12-05,633600000.0,Pengembangan,Basic Materials,276,174873600000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INCF,Indo Komoditi Korpora Tbk.,2016-09-06,1438370465.0,Pengembangan,Basic Materials,65,93494080225.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2016-09-06,2022-12-19
INCI,Intanwijaya Internasional Tbk,1990-07-24,196121237.0,Utama,Basic Materials,685,134343047345.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INCO,Vale Indonesia Tbk.,1990-05-16,9936338720.0,Utama,Basic Materials,7325,72783681124000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INDF,Indofood Sukses Makmur Tbk.,1994-07-14,8780426500.0,Utama,Consumer Non-Cyclicals,7000,61462985500000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INDO,Royalindo Investa Wijaya Tbk.,2020-01-13,4356525519.0,Pengembangan,Properties & Real Estate,93,405156873267.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-01-13,2022-12-19
INDR,Indo-Rama Synthetics Tbk.,1990-08-03,654351707.0,Utama,Consumer Cyclicals,5850,3827957485950.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INDS,Indospring Tbk.,1990-08-10,656249710.0,Utama,Consumer Cyclicals,1960,1286249431600.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INDX,Tanah Laut Tbk,2001-05-17,437913588.0,Pengembangan,Industrials,268,117360841584.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-05-17,2022-12-19
INDY,Indika Energy Tbk.,2008-06-11,5210192000.0,Utama,Energy,2910,15161658720000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2008-06-11,2022-12-19
INKP,Indah Kiat Pulp & Paper Tbk.,1990-07-16,5470982941.0,Utama,Basic Materials,9525,52111112513025.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INOV,Inocycle Technology Group Tbk.,2019-07-10,1808221900.0,Pengembangan,Consumer Cyclicals,130,235068847000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-07-10,2022-12-19
INPC,Bank Artha Graha Internasional,1990-08-23,20021178779.0,Utama,Financials,73,1461546050867.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INPP,Indonesian Paradise Property T,2004-01-12,11181971732.0,Pengembangan,Properties & Real Estate,386,4316241088552.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2004-01-12,2022-12-19
INPS,Indah Prakasa Sentosa Tbk.,2018-04-06,650000000.0,Pengembangan,Energy,870,565500000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-04-06,2022-12-19
INRU,Toba Pulp Lestari Tbk.,1990-06-18,1388883283.0,Pengembangan,Basic Materials,605,840274386215.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INTA,Intraco Penta Tbk.,1993-08-23,3343935022.0,Pengembangan,Industrials,74,247451191628.0,2021-11-01 09:00:00,2022-06-03 15:59:00,2020-04-16 09:00:00,2022-06-03 16:00:00,2001-04-16,2022-12-16
INTD,Inter Delta Tbk,1989-12-18,591828000.0,Pengembangan,Basic Materials,161,95284308000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
INTP,Indocement Tunggal Prakarsa Tb,1989-12-05,3681231699.0,Utama,Basic Materials,9875,36352163027625.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
IPAC,Era Graharealty Tbk.,2021-06-30,949868500.0,Akselerasi,Properties & Real Estate,117,111134614500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-06-30 09:00:00,2022-12-19 15:00:00,2021-06-30,2022-12-19
IPCC,Indonesia Kendaraan Terminal T,2018-07-09,1818384820.0,Utama,Infrastructures,590,1072847043800.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-07-09,2022-12-19
IPCM,Jasa Armada Indonesia Tbk.,2017-12-22,5284811100.0,Utama,Infrastructures,276,1458607863600.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2017-12-22,2022-12-19
IPOL,Indopoly Swakarsa Industry Tbk,2010-07-09,6443379509.0,Utama,Basic Materials,150,966506926350.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2010-07-09,2022-12-19
IPPE,Indo Pureco Pratama Tbk.,2021-12-09,4600000000.0,Pengembangan,Consumer Non-Cyclicals,171,786600000000.0,2021-12-09 09:00:00,2022-12-19 15:59:00,2021-12-09 09:00:00,2022-12-19 15:00:00,2021-12-09,2022-12-19
IPTV,MNC Vision Networks Tbk.,2019-07-08,42197950841.0,Utama,Consumer Cyclicals,64,2700668853824.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-07-08,2022-12-19
IRRA,Itama Ranoraya Tbk.,2019-10-15,1600000000.0,Pengembangan,Healthcare,1025,1640000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-10-15,2022-12-19
ISAP,Isra Presisi Indonesia Tbk.,2022-12-09 00:00:00,4020000000.0,Akselerasi,Consumer Cyclicals,85,341700000000.0,2022-12-09 09:00:00,2022-12-19 15:59:00,2022-12-09 09:00:00,2022-12-19 15:00:00,2022-12-09,2022-12-19
ISAT,Indosat Tbk.,1994-10-19,8062702740.0,Utama,Infrastructures,5700,45957405618000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ISSP,Steel Pipe Industry of Indones,2013-02-22,7185992035.0,Utama,Basic Materials,254,1825241976890.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-02-22,2022-12-19
ITIC,Indonesian Tobacco Tbk.,2019-07-04,940720000.0,Pengembangan,Consumer Non-Cyclicals,228,214484160000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-07-04,2022-12-19
ITMA,Sumber Energi Andalan Tbk.,1990-12-10,870701000.0,Pengembangan,Energy,840,731388840000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ITMG,Indo Tambangraya Megah Tbk.,2007-12-18,1129925000.0,Utama,Energy,40675,45959699375000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2007-12-18,2022-12-19
JARR,Jhonlin Agro Raya Tbk.,2022-08-04,8000000000.0,Pengembangan,Consumer Non-Cyclicals,246,1968000000000.0,2022-08-04 09:00:00,2022-12-19 15:59:00,2022-08-04 09:00:00,2022-12-19 15:00:00,2022-08-04,2022-12-19
JAST,Jasnita Telekomindo Tbk.,2019-05-16,813626700.0,Pengembangan,Infrastructures,91,74040029700.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-05-16,2022-12-19
JAWA,Jaya Agra Wattie Tbk.,2011-05-30,3774685500.0,Utama,Consumer Non-Cyclicals,124,468061002000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-05-30,2022-12-19
JAYA,Armada Berjaya Trans Tbk.,2019-02-21,750000210.0,Pengembangan,Transportation & Logistic,108,81000022680.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-02-21,2022-12-19
JECC,Jembo Cable Company Tbk.,1992-11-18,151200000.0,Pengembangan,Industrials,4790,724248000000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-15 09:13:49,2001-04-16,2022-12-16
JGLE,Graha Andrasentra Propertindo ,2016-06-29,22581909405.0,Pengembangan,Consumer Cyclicals,50,1129095470250.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2016-06-29,2022-12-16
JIHD,Jakarta International Hotels &,1984-02-29,2329040482.0,Pengembangan,Consumer Cyclicals,356,829138411592.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
JKON,Jaya Konstruksi Manggala Prata,2007-12-04,16308519860.0,Utama,Infrastructures,136,2217958700960.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2007-12-04,2022-12-19
JKSW,Jakarta Kyoei Steel Works Tbk.,1997-08-06,150000000.0,Pengembangan,Basic Materials,60,9000000000.0,,,,,2001-04-16,2022-12-16
JMAS,Asuransi Jiwa Syariah Jasa Mit,2017-12-18,1000000000.0,Pengembangan,Financials,115,115000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2017-12-18,2022-12-19
JPFA,Japfa Comfeed Indonesia Tbk.,1989-10-23,11726575201.0,Utama,Consumer Non-Cyclicals,1265,14834117629265.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
JRPT,Jaya Real Property Tbk.,1994-06-29,13750000000.0,Utama,Properties & Real Estate,468,6435000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
JSKY,Sky Energy Indonesia Tbk.,2018-03-28,2032540000.0,Utama,Energy,52,105692080000.0,2021-11-01 09:00:00,2022-07-29 15:59:00,2020-04-16 09:00:00,2022-07-29 16:00:00,2018-03-28,2022-12-16
JSMR,Jasa Marga (Persero) Tbk.,2007-11-12,7257871200.0,Utama,Infrastructures,2990,21701034888000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2007-11-12,2022-12-19
JSPT,Jakarta Setiabudi Internasiona,1998-01-12,2318736000.0,Pengembangan,Consumer Cyclicals,845,1959331920000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-16
JTPE,Jasuindo Tiga Perkasa Tbk.,2002-04-16,1713012500.0,Pengembangan,Industrials,270,462513375000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2002-04-16,2022-12-19
KAEF,Kimia Farma Tbk.,2001-07-04,5554000000.0,Utama,Healthcare,1120,6220480000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-07-04,2022-12-19
KARW,ICTSI Jasa Prima Tbk.,1994-12-20,587152700.0,Pengembangan,Infrastructures,95,55779506500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
KAYU,Darmi Bersaudara Tbk.,2019-07-04,665000000.0,Pengembangan,Basic Materials,50,33250000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-07-04,2022-12-19
KBAG,Karya Bersama Anugerah Tbk.,2020-04-08,7150001509.0,Pengembangan,Properties & Real Estate,50,357500075450.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-04-08,2022-12-19
KBLI,KMI Wire & Cable Tbk.,1992-07-06,4007235107.0,Utama,Industrials,318,1274300764026.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
KBLM,Kabelindo Murni Tbk.,1992-06-01,1120000000.0,Pengembangan,Industrials,244,273280000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
KBLV,First Media Tbk.,2000-02-25,1742167907.0,Pengembangan,Infrastructures,101,175958958607.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
KBRI,Kertas Basuki Rachmat Indonesi,2008-07-11,8687995734.0,Pengembangan,Basic Materials,50,434399786700.0,,,,,2008-07-11,2022-12-16
KDSI,Kedawung Setia Industrial Tbk.,1996-07-29,405000000.0,Pengembangan,Basic Materials,1005,407025000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
KDTN,Puri Sentul Permai Tbk.,2022-11-09 00:00:00,1250000000.0,Pengembangan,Consumer Cyclicals,148,185000000000.0,2022-11-09 09:00:00,2022-12-19 15:59:00,2022-11-09 09:00:00,2022-12-19 15:00:00,2022-11-10,2022-12-19
